"Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",54.762501,55.59,42.564999,44.645,3845305600,43.252689
"2",46.115002,46.235001,36.647499,39.435001,3595690000,38.338486
"3",38.7225,42.25,35.5,41.610001,3312349600,40.453007
"4",41.740002,43.967499,41.482498,43.287498,1890162400,42.083862
"5",43.57,49.422501,42.375,47.487499,2603925600,46.365074
"6",47.91,52.119999,47.095001,50.1675,2024470800,48.981731
"7",52.470001,53.827499,43.747501,43.767502,2957826400,42.733002
"8",43.900002,50.392502,42.567501,49.48,2060874800,48.496525
"9",50.7925,55.342499,49.602501,53.259998,1895406800,52.201389
"10",53.474998,54.5075,48.145,52.185001,2724326400,51.147766
"11",51.607498,56.605,51.055,55.9925,2170268400,55.088093
"12",56.267502,62.4375,53.782501,62.189999,2433210800,61.185486
"13",62.384998,67,62.290001,66.8125,1793326000,65.73333
"14",66.817497,73.4925,64.072502,73.412498,2388794800,72.443565
"15",74.059998,81.962502,73.1875,77.377502,2934370400,76.356224
"16",76.074997,81.805,64.092499,68.339996,3019279200,67.438004
"17",70.57,76,53.1525,63.572498,6280072400,62.88232
"18",61.625,73.6325,59.224998,73.449997,3265299200,72.65258
"19",71.5625,81.059998,71.462502,79.485001,2805936000,78.622063
"20",79.4375,93.095001,79.302498,91.199997,3243375600,90.454071
"21",91.279999,106.415001,89.144997,106.260002,3020283200,105.3909
"22",108.199997,131,107.892502,129.039993,4070061100,127.984581
"23",132.759995,137.979996,103.099998,115.809998,3885245100,115.069885
"24",117.639999,125.389999,107.720001,108.860001,2894666500,108.164307
"25",109.110001,121.989998,107.32,119.050003,2123077300,118.289192
"26",121.010002,138.789993,120.010002,132.690002,2322189600,132.069473
"27",133.520004,145.089996,126.379997,131.960007,2240262000,131.34288
"28",133.75,137.880005,118.389999,121.260002,1833855600,120.692932
"29",123.75,128.720001,116.209999,122.150002,2650418200,121.760445
"30",123.660004,137.070007,122.489998,131.460007,1889857500,131.040756
"31",132.039993,134.070007,122.25,124.610001,1711934900,124.212601
"32",125.080002,137.410004,123.129997,136.960007,1606590000,136.755112
"33",136.600006,150,135.759995,145.860001,1918976500,145.641785
"34",146.360001,153.490005,144.5,151.830002,1460744100,151.602859
"35",152.830002,157.259995,141.270004,141.5,1797465800,141.5
"36",141.899994,149.75,138.270004,149.259995,1051853100,149.259995
